"name","summary","imgLink"
"Deneb","Deneb (), also designated α Cygni (Latinised alpha Cygni, abbreviated Alpha Cyg, α Cyg), is the brightest star in the constellation of Cygnus, the swan. It is one of the vertices of the asterism known as the Summer Triangle and forms the 'head' of the Northern Cross. It is the 19th brightest star in the night sky, with an apparent magnitude of 1.25. A blue-white supergiant, Deneb is also one of the most luminous stars. However, its exact distance (and hence luminosity) has been difficult to calculate; it is estimated to be somewhere between 55,000 and 196,000 times as luminous as the Sun, rivalling Rigel as the most inherently luminous star of first magnitude.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Cygnus_constellation_map.png/1000px-Cygnus_constellation_map.png"
"Gienah","Gienah was the traditional name of two stars, each marking a wing (Arabic al janāħ) of its constellation:

Gamma Corvi aka Gienah Corvi, in Corvus
Epsilon Cygni aka Gienah Cygni, in CygnusThe International Astronomical Union approved the name Gienah for Gamma Corvi A in 2016 and Aljanah for Epsilon Cygni Aa in 2017.",""
"Lacaille 8760","Lacaille 8760 (AX Microscopii) is a red dwarf star in the constellation Microscopium. Although it is generally too faint to be seen without a telescope, it is one of the nearest stars to the Sun at about 12.9 light-years' distance. At an apparent magnitude of +6.7, it may only be visible to the unaided eye under exceptionally good viewing conditions, under dark skies. It was originally listed in a 1763 catalog that was published posthumously by the French Abbé Nicolas Louis de Lacaille. He observed it in the southern sky while working from an observatory at the Cape of Good Hope.In the past Lacaille 8760 has been classified anywhere from spectral class K7 down to M2. In 1979 the Irish astronomer Patrick Byrne discovered that it is a flare star, and it was given the variable star designation AX Microscopii. As a flare star it is relatively quiet, only erupting on average less than once per day.
Lacaille 8760 orbits around the galaxy with a relatively high ellipticity of 0.23. Its closest approach to the Sun occurred about 20,000 years ago when it came within 12 light-years (3.7 parsecs). Due to its low mass (60% of the Sun), it has an expected lifespan of about 7.5 × 1010 years, seven times longer than the Sun's.
Despite efforts by astronomers, as of 2011 no planets have been detected in orbit around this star.Lacaille 8760 is one of the largest and brightest red dwarfs known, with about 60% the mass and 51% the radius of the Sun.",""
"Alpha Cephei","Alpha Cephei (α Cephei, abbreviated Alpha Cep, α Cep), also named Alderamin, is a second magnitude star in the constellation of Cepheus near the northern pole. The star is relatively close to Earth at 49 light years (ly).","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cepheus_constellation_map.svg/820px-Cepheus_constellation_map.svg.png"
"Beta Aquarii","Beta Aquarii (β Aquarii, abbreviated Beta Aqr, β Aqr) is a star in the constellation of Aquarius. Based upon parallax measurements obtained during the Hipparcos mission, it is approximately 540 light-years (165 parsecs) from the Sun. The primary or 'A' component is also named Sadalsuud.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Aquarius_IAU.svg/1000px-Aquarius_IAU.svg.png"
"Epsilon Pegasi","Epsilon Pegasi (Latinised from ε Pegasi, abbreviated Epsilon Peg, ε Peg), officially named Enif (EE-nif), is the brightest star in the northern constellation of Pegasus. With an average apparent visual magnitude of 2.4, this is a second-magnitude star that is readily visible to the naked eye. The distance to this star can be estimated using parallax measurements from the Hipparcos astrometry satellite, yielding a value of around 690 light-years (210 parsecs).

","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Pegasus_constellation_map.svg/1000px-Pegasus_constellation_map.svg.png"
"Alpha Aquarii","Alpha Aquarii (α Aquarii, abbreviated Alpha Aqr, α Aqr), also named Sadalmelik, is a single star in the constellation of Aquarius. The apparent visual magnitude of 2.94 makes this the second-brightest star in Aquarius. Based upon parallax measurements made during the Hipparcos mission, it is located at a distance of roughly 520 light-years (160 parsecs) from the Sun.It forms the primary or 'A' component of a double star designated WDS J22058-0019 (the secondary or 'B' component is UCAC2 31789179).","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Aquarius_constellation_map.svg/1000px-Aquarius_constellation_map.svg.png"
"Alpha Gruis","Alpha Gruis, Latinized from α Gruis, also named Alnair, is the brightest star in the southern constellation of Grus.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Grus_IAU.svg/1000px-Grus_IAU.svg.png"
"Kruger 60","Kruger 60 (DO Cephei) is a binary star system located 13.15 light-years from the Sun. These red dwarf stars orbit each other every 44.6 years.",""
"Eta Pegasi","Eta Pegasi (η Pegasi, abbreviated Eta Peg, η Peg), also named Matar, is a binary star in the constellation of Pegasus. The apparent visual magnitude of this star is +2.95, making it the fifth-brightest member of Pegasus. Based upon parallax measurements, the distance to this star is about 167 light-years (51 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Pegasus_IAU.svg/1000px-Pegasus_IAU.svg.png"
"Babcock's star","",""
"Fomalhaut","Fomalhaut, also designated Alpha Piscis Austrini (α Piscis Austrini, abbreviated Alpha PsA, α PsA) is the brightest star in the constellation of Piscis Austrinus and one of the brightest stars in the sky. It is a class A star on the main sequence approximately 25 light-years (7.7 pc) from the Sun as measured by the Hipparcos astrometry satellite. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. It is classified as a Vega-like star that emits excess infrared radiation, indicating it is surrounded by a circumstellar disk. Fomalhaut, K-type main-sequence star TW Piscis Austrini, and M-type, red dwarf star LP 876-10 constitute a triple system, even though the companions are separated by several degrees.Fomalhaut holds a special significance in extrasolar planet research, as it is the center of the first stellar system with an extrasolar planet candidate (designated Fomalhaut b, later named Dagon) imaged at visible wavelengths. The image was published in Science in November 2008. Fomalhaut is the third-brightest star (as viewed from Earth) known to have a planetary system, after the Sun and Pollux.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Heic0821f.jpg/930px-Heic0821f.jpg"
"Beta Pegasi","Beta Pegasi (β Pegasi, abbreviated Beta Peg, β Peg), also named Scheat, is a red giant star and the second-brightest star (after Epsilon Pegasi) in the constellation of Pegasus. It forms the upper right corner of the Great Square of Pegasus, a prominent rectangular asterism.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Pegasus_constellation_map.svg/1000px-Pegasus_constellation_map.svg.png"
"Alpha Pegasi","Alpha Pegasi (α Pegasi, abbreviated Alpha Peg, α Peg), also named Markab, is the third-brightest star in the constellation of Pegasus and one of the four stars in the asterism known as the Great Square of Pegasus.
α Pegasi (Latinised to Alpha Pegasi) is the star's Bayer designation. It bore the traditional name Markab (or Marchab), which derived from an Arabic word مركب markab ""the saddle of the horse"", or is mistranscription of Mankib, which itself comes from an Arabic phrase منكب الفرس Mankib al-Faras ""(the Star of) the Shoulder (of the Constellation) of the Horse"" for Beta Pegasi. 
Markab has a stellar classification of A0 IV, indicating that it is an A-type subgiant star that has exhausted the hydrogen at its core and has evolved beyond the main sequence. It is rotating rapidly, with a projected rotational velocity of 125 km/s giving a lower bound on the azimuthal velocity along the star's equator. The effective temperature of the photosphere is nearly 10,000 K and the star has expanded to nearly five times the radius of the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Pegasus_IAU.svg/1000px-Pegasus_IAU.svg.png"
"Lacaille 9352","Lacaille 9352 (Lac 9352) is a star in the southern constellation of Piscis Austrinus. With an apparent visual magnitude of 7.34, this star is too faint to be viewed with the naked eye even under excellent seeing conditions. Parallax measurements place it at a distance of about 10.74 light-years (3.29 parsecs) from Earth. It is the eleventh closest star system to the Solar System and is the closest star in the constellation Piscis Austrinus. The ChView simulation shows that its closest neighbour is the EZ Aquarii 
triple star system at about 4.1 ly from Lacaille 9352.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Nearby_Stars_%2814ly_Radius%29.svg/1000px-Nearby_Stars_%2814ly_Radius%29.svg.png"
"P Eridani","p Eridani (6 Eri, DUN 5) is a binary star system in the constellation of Eridanus (the River) whose distance is approximately 26 light-years. It was found to be a double star in December 1825 by James Dunlop in Australia at his home at Paramatta, now spelt Parramatta.",""
